country_name,total_medals,total_gold_medals,total_silver_medals,total_bronze_medals,total_summer_medals,total_winter_medals,total_team_medals,total_doubles_medals,total_individual_medals,total_mens_medals,total_womens_medals,total_mixed_medals,gdp,population,avg_summer_medals_per_year,avg_winter_medals_per_year,summer_individual_medals,summer_doubles_medals,summer_team_medals,winter_individual_medals,winter_doubles_medals,winter_team_medals,avg_summer_individual_medals_per_year,avg_summer_doubles_medals_per_year,avg_summer_team_medals_per_year,avg_winter_individual_medals_per_year,avg_winter_doubles_medals_per_year,avg_winter_team_medals_per_year,gdp_per_capita,medals_per_million
Thailand,35,10,8,17,35,0,0,0,35,0,0,0,514969000000.0,71702435.0,1.1666666666666667,0.0,35,0,0,0,0,0,1.1666666666666667,0.0,0.0,0.0,0.0,0.0,7182029452.695714,4.881284715086733e-07
The Former Yugoslav Republic of Macedonia,1,0,0,1,1,0,0,0,1,0,0,0,104450000000.0,11331265.0,0.03333333333333333,0.0,1,0,0,0,0,0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,9217858729.806425,8.825139999814671e-08
Togo,1,0,0,1,1,0,0,0,1,0,0,0,9171261838.0,9304337.0,0.03333333333333333,0.0,1,0,0,0,0,0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,985697512.6760778,1.0747676056875412e-07
Tonga,1,0,1,0,1,0,0,0,1,0,0,0,104450000000.0,11331265.0,0.03333333333333333,0.0,1,0,0,0,0,0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,9217858729.806425,8.825139999814671e-08
Trinidad and Tobago,19,3,5,11,19,0,0,0,19,0,0,0,27372285698.0,1502932.0,0.6333333333333333,0.0,19,0,0,0,0,0,0.6333333333333333,0.0,0.0,0.0,0.0,0.0,18212590920.94652,1.2641955856951612e-05
Tunisia,15,5,3,7,15,0,0,0,15,0,0,0,48529595417.0,12200431.0,0.5,0.0,15,0,0,0,0,0,0.5,0.0,0.0,0.0,0.0,0.0,3977695166.424858,1.2294647623514284e-06
Turkey,103,41,26,36,103,0,0,0,103,0,0,0,1118250000000.0,87270501.0,3.433333333333333,0.0,103,0,0,0,0,0,3.433333333333333,0.0,0.0,0.0,0.0,0.0,12813608117.134563,1.180238440478301e-06
Turkmenistan,1,0,1,0,1,0,0,0,1,0,0,0,60628857143.0,7364438.0,0.03333333333333333,0.0,1,0,0,0,0,0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,8232652259.819419,1.357876867182533e-07
US Virgin Islands,1,0,1,0,1,0,0,0,1,0,0,0,104450000000.0,11331265.0,0.03333333333333333,0.0,1,0,0,0,0,0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,9217858729.806425,8.825139999814671e-08
Uganda,11,4,4,3,11,0,0,0,11,0,0,0,48768955863.0,48656601.0,0.36666666666666664,0.0,11,0,0,0,0,0,0.36666666666666664,0.0,0.0,0.0,0.0,0.0,1002309139.1648997,2.2607415589921706e-07
Ukraine,148,38,38,72,139,9,9,0,139,0,0,0,178757000000.0,37732836.0,4.633333333333334,0.391304347826087,130,0,9,9,0,0,4.333333333333333,0.0,0.3,0.391304347826087,0.0,0.0,4737438765.535673,3.922313181018252e-06
Unified Team,135,54,44,37,135,0,6,1,128,0,0,0,104450000000.0,11331265.0,4.5,0.0,128,1,6,0,0,0,4.266666666666667,0.03333333333333333,0.2,0.0,0.0,0.0,9217858729.806425,1.1913938999749808e-05
United Arab Emirates,2,1,0,1,2,0,0,0,2,0,0,0,514130000000.0,10642081.0,0.06666666666666667,0.0,2,0,0,0,0,0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,48311039917.850655,1.87933168334276e-07
United Arab Republic,2,0,1,1,2,0,0,0,2,0,0,0,104450000000.0,11331265.0,0.06666666666666667,0.0,2,0,0,0,0,0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,9217858729.806425,1.7650279999629343e-07
United Republic of Tanzania,2,0,2,0,2,0,0,0,2,0,0,0,104450000000.0,11331265.0,0.06666666666666667,0.0,2,0,0,0,0,0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,9217858729.806425,1.7650279999629343e-07
United States of America,2957,1171,954,832,2759,198,122,25,2810,0,0,0,104450000000.0,11331265.0,91.96666666666667,8.608695652173912,2626,21,112,184,4,10,87.53333333333333,0.7,3.7333333333333334,8.0,0.17391304347826086,0.43478260869565216,9217858729.806425,0.00026095938979451986
Uruguay,10,2,2,6,10,0,0,0,10,0,0,0,77240830877.0,3388081.0,0.3333333333333333,0.0,10,0,0,0,0,0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,22797811173.05047,2.9515232959306465e-06
Uzbekistan,36,11,6,19,35,1,0,0,36,0,0,0,101592000000.0,35652307.0,1.1666666666666667,0.043478260869565216,35,0,0,1,0,0,1.1666666666666667,0.0,0.0,0.043478260869565216,0.0,0.0,2849521070.2634196,1.0097523282294186e-06
Venezuela,19,3,7,9,19,0,0,0,19,0,0,0,104450000000.0,11331265.0,0.6333333333333333,0.0,19,0,0,0,0,0,0.6333333333333333,0.0,0.0,0.0,0.0,0.0,9217858729.806425,1.6767765999647878e-06
Vietnam,4,1,3,0,4,0,0,0,4,0,0,0,429717000000.0,100352192.0,0.13333333333333333,0.0,4,0,0,0,0,0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,4282088825.72291,3.985961761552752e-08
West Indies Federation,2,0,0,2,2,0,0,0,2,0,0,0,104450000000.0,11331265.0,0.06666666666666667,0.0,2,0,0,0,0,0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,9217858729.806425,1.7650279999629343e-07
Yugoslavia,87,26,32,29,87,0,2,2,83,0,0,0,104450000000.0,11331265.0,2.9,0.0,83,2,2,0,0,0,2.7666666666666666,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,9217858729.806425,7.677871799838764e-06
Zambia,2,0,1,1,2,0,0,0,2,0,0,0,27577956471.0,20723965.0,0.06666666666666667,0.0,2,0,0,0,0,0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,1330727805.7553177,9.650662891970722e-08
Zimbabwe,8,3,4,1,8,0,0,0,8,0,0,0,35231367886.0,16340822.0,0.26666666666666666,0.0,8,0,0,0,0,0,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,2156034004.0421467,4.895714548509249e-07
